カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2025-03-11,2025-03-13,,EX000935,カバー_cover_4(2),金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,西村　西浦,外観全数,70,1,本社1階,目視,インサート有り、注意　体裁面のキズ注意,
メカ,2025-03-13,2025-03-13,,EX000937-03,撹拌棒/mixing arm,金森産業（株）,70,,外観,検査基準書 適用型式AC101P13,西村,外観全数,10,1,本社1階,目視,,
メカ,2025-03-13,2025-03-13,,EX000937-03,撹拌棒/mixing arm,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,西村,外観全数,20,1,本社1階,目視,,
メカ,2025-03-14,2025-03-14,,EX000762-04,Liquid　Tank　9L,FAモールディング,120,4,外観,検査基準書 適用型式AC102,西村・西浦,外観全数,180,2,中宗岡倉庫,ライト、ゲージ、ポスト、キャップ,樹脂のバリ、インサートなどチェック。不具合は交換依頼,
メカ,2025-04-04,2025-04-07,,EX000936,モーターカバー 3,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,外観全数,,,本社1階,,,
メカ,2025-04-04,2025-04-07,,EX000938,unit housing 1 5,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,外観全数,,,本社1階,,,
メカ,2025-04-10,2025-04-17,,EX000930,ハウジング,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↓,,本社1階,,,
メカ,2025-04-10,2025-04-17,,EX000934-02_,吐出口,金森産業（株）,220,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↓,,本社1階,,,
メカ,2025-04-10,2025-04-17,,NX180227-1,タンクキャップ,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↓,,本社1階,,,
メカ,2025-04-10,2025-04-17,,EX000940,可動板      ,金森産業（株）,240,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,80,,本社1階,,,
メカ,2025-04-10,2025-04-17,,EX000939,インペラ,金森産業（株）,180,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↑,,本社1階,,,
メカ,2025-04-10,2025-04-17,,EX000933-02,シャッターギヤ,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↑,,本社1階,,,
メカ,2025-04-10,2025-04-17,,EX000931,駆動ギヤホーン,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↑,,本社1階,,,
メカ,2025-04-16,2025-04-16,,EX000762-04,Liquid　Tank　9L,FAモールディング,38,,外観,検査基準書 適用型式AC102,西村・西浦,外観全数,120,2,中宗岡倉庫,ライト、ゲージ、ポスト、キャップ、,,
