カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
エレキ,2025-09-19,2025-09-25,EX002857-01,Harness(FC-GPSヘリカル/PCM),ユニット産業（株）,100,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002523-01,Harness(PCM-MC),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002525-01,Harness(PCM-SIG HUB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002575-03,Harness(FC-外部USB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002655-01,Harness(Relay Remote ID),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,X002519-01,TF mini Plus レンジファインダー(加工後),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,EX002520-02,Harness(FC-外部LED),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002522-01,Harness(PCM-FC),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,EX002526-11,ブザー　ASH003(加工後),ユニット産業（株）,200,,配線長外観,無し,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,,EX000864-31,フロートセンサーAssy,ユニット産業（株）,120,,配線長外観,無し,西村,外観全数,20,,本社1階,,,
エレキ,2025-09-19,,EX002515-12,液剤ポンプ配線加工,,,,配線長外観,無し,西村,外観全数,20,,本社1階,,,
エレキ,2025-09-19,2025-09-26,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,,コネクタ周り,無し,西村、長野佳,外観全数,120,,本社1階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
