カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),検査場所,検査治具,検査結果・備考,その他
Api,2025-11-25,2025-11-26,EX002878-01,Lower Plate（AC102）,,30,0,外観,検査基準書 適用型式AC102,杉山・西村,外観全数,30,本社１階,,,
Api,2025-11-25,2025-11-26,EX002550-03,Upper plate,,30,0,外観,検査基準書 適用型式AC102,杉山・西村,外観全数,30,本社１階,,,
Api,2025-11-25,2025-11-27,EX000796-11,Center beam,,20,0,外観寸法,検査基準書 適用型式AC102,西村,外観全数　寸法抜き取り20個,20,本社3階,ノギス,,
Api,2026-11-25,2026-12-04,EX002028,2.0mm Banana(GC2011-M),,1,0,,,杉山,外観全数,1,本社１階,,,
Api,2026-11-25,2026-12-04,EX000767,Arm　grommet,,600,0,外観,検査基準書 適用型式AC102,杉山,外観全数,60,本社１階,,,
Api,2026-11-25,2026-12-04,EX002621-01,U-shaped grommet W,,291,0,員数,無し,杉山,,30,本社１階,,,
Api,2026-11-25,2026-12-04,EX002622-01,U-shaped grommet S,,200,0,員数,無し,杉山,,30,本社１階,,,
Api,2026-11-25,2026-12-04,EX000782,float cencer,,300,0,外観,,杉山,,60,本社１階,,,
Api,2026-12-12,2025-12-24,EX000785,50 mesh,,70,0,外観員数,無し（設計区より大穴無し検査の指示。）,杉山,外観全数,70,本社１階,,,
Api,2026-12-12,2026-12-25,EX002616-02,Battery connector holder,,200,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,60,本社１階,,,
Api,2026-12-12,2026-12-26,EX000943,Servo horn,,150,0,外観員数,2024品質基準書(P13)P13,杉山,外観全数,30,本社１階,,,
Api,2025-12-15,2025-12-18,EX000796-11,Center beam,,470,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,60,,,,
Api,2025-12-15,2025-12-18,EX000750-11,Slide Mount,,350,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,90,本社１階,,,
Api,2025-12-15,2026-01-29,EX000750-11,Slide Mount,,200,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り50個,120,本社１階,,1/28より検査方式変更,
Api,2025-12-15,2025-12-18,EX000777-11,Boom mount,,300,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,60,,,,
Api,2025-12-15,2025-12-18,EX002616-02,Battery connector holder,,200,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,30,,,,
Api,2025-12-15,2025-12-18,EX000817-11,Franged coller φ8.5 φ3.1,,2500,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り80個,120,本社１階,,,
Api,2025-12-15,2025-12-19,EX002611-01,Battery connector cap,,200,0,外観員数,2024品質基準書(P13)P13,杉山,外観全数,30,本社１階,,,
Api,2025-12-15,2025-12-23,EX002514-13,Harnessz(Pump-PCM/PDB/MC),,240,0,外観員数,設計区の指示,杉山,外観全数,60,本社１階,,,
Api,2025-12-15,2025-12-29,EX000803-11　,TF mini plus holder,,300,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,60,本社１階,,,
Api,2026-01-07,2026-01-27,EX000750-11,Slide Mount,,150,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,70,本社１階,,,
Api,2026-01-07,2026-01-27,EX000782,float cencer,,50,0,外観員数,無し（西浦さんに確認）,杉山,外観全数,30,本社１階,,,
Api,2026-01-07,2026-01-27,EX003012-01,Pump attached harness,,50,0,外観員数,無し（西浦さんに確認）,杉山,外観全数,30,本社１階,,,
Api,2026-01-07,2026-01-27,EX000796-11,Center beam,,10,0,外観員数,1/28より新検査基準,杉山,全数,30,本社１階,,,
Api,2026-01-07,2026-01-27,EX001877,M4アルミフランジナット,,203,0,外観員数,1/28より新検査基準,杉山,全数,30,本社１階,,1/28より員数検査のみに変更。メーカ出荷数は、２００個が正式,
Api,2026-01-07,2026-01-27,EX000777-11,Boom mount,,160,0,外観員数,1/28より新検査基準,杉山,全数,45,本社１階,,1/28より員数検査のみに変更。メーカ出荷数は、２００個が正式,
Api,2026-01-07,2026-01-29,EX000817-11,Fraged coller φ8.5 φ3.1,,1737,0,員数,1/28より新検査基準,杉山,全数,90,本社１階,,,
Api,2026-01-20,2026-01-29,EX000825,Nozzle mount,,150,0,外観員数,1/28より新検査基準,杉山,全数,30,本社１階,,,
Api,2026-01-20,2026-01-29,EX000795,Boom mount RH,,200,0,外観員数,1/28より新検査基準,杉山,全数,90,本社１階,,,
Api,2026-02-09,2026-02-09,EX000767,Arm　grommet,,800,0,外観員数,検査基準書 適用型式AC102,杉山,外観全数,60,本社１階,,,
Api,2026-02-09,2026-02-09,EX002621-01,U-shaped grommet W,,1000,0,外観員数,この状態での基準書は無し,杉山,外観全数,180,本社１階,,50個づつ分け作業含む,
Api,2026-02-09,2026-02-09,EX002514-13,Harnessz(Pump-PCM/PDB/MC),,50,0,外観,,杉山,外観全数,50,本社１階,,10本づつ分け作業含む,
Api,2026-02-09,2026-02-10,EX002611-01,Battery connector cap,,150,0,外観員数,検査基準書 適用型式AC102,杉山,外観全数,60,本社１階,,20本づつ分け作業含む,
Api,2026-02-09,2026-02-10,EX000777-11,Boom mount,,240,0,外観員数,1/28より新検査基準,杉山,全数,120,本社１階,,10本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-10,EX000796-11,Center beam,,200,0,外観員数,1/28より新検査基準,杉山,全数,90,本社１階,,10本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-10,EX002616-02,Battery connector holder,,300,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り20個,120,本社１階,,10本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-13,EX000803-11　,TF mini plus holder,,50,0,外観員数,1/28より新検査基準,杉山,外観全数　寸法抜き取り20個,30,本社１階,,10本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-13,EX000943,Servo horn,,100,0,外観員数,1/28より新検査基準,杉山,外観全数,30,本社１階,,10本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-13,EX002622-01,U-shaped grommet S,,150,0,外観員数,1/28より新検査基準,杉山,外観全数,70,本社１階,,50本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-13,EX000785,50mesh,,500,0,外観員数,1/28より新検査基準,杉山,外観全数,120,本社１階,,20本づつ分け袋詰め作業含む,
Api,2026-02-09,2026-02-16,EX000750-11,Slide Mount,,500,0,外観員数寸法,検査基準書 適用型式AC102,杉山,外観全数　寸法抜き取り80個,400,本社１階,,10本づつ分け袋詰め作業含む,
Api,,2026-02-19,EXA000002-02,液剤ポンプAssy,,72,0,外観員数,,杉山,,30,本社１階,,N25-01804／02359用合わせ入荷,
Api,2026-03-03,2026-03-03,EX000746-03,Arm pipe Assy,,800,,外観寸法,検査基準書 適用型式AC102,杉山,外観全数、寸法測定,120,本社１階,,448本（１２０分）,
Api,2026-03-03,2026-03-04,EXA000028-11,Skid(Assy),,800,,外観寸法,検査基準書 適用型式AC102,杉山,外観全数、抜き取り８０,285,本社１階,,箱入り箱出し含む,
