品名,カテゴリ,検査回数,工数記録あり,合計工数(分),合計工数(時間),平均工数(分/回),数値でない値
フランジカラー φ8.5 φ3.1,Api/メカ,2,2,85.0,1.42,42.5,
FPV Unit cover (AC102),メカ,2,2,80.0,1.33,40.0,
Harness(FC-外部LED),エレキ,3,3,80.0,1.33,26.7,
TF mini Plus レンジファインダー(加工後),エレキ/買い物,5,3,80.0,1.33,26.7,
Harness(FC-GPSヘリカル/PCM),エレキ,3,3,75.0,1.25,25.0,
PCM基板Assy,エレキ,4,3,75.0,1.25,25.0,
サーボホルダ（AC20）,メカ,1,1,75.0,1.25,75.0,
シャッターサーボ（コネクタ加工後）,エレキ,2,2,75.0,1.25,37.5,
タンクキャップ(AC102),メカ,2,1,75.0,1.25,75.0,
ブザー　ASH003(加工後),エレキ,3,3,75.0,1.25,25.0,
Boom(Assy),Api,8,3,72.0,1.2,24.0,"↓, ↑, ↑, ↓"
50 mesh,Api,2,1,70.0,1.17,70.0,ー
H-RTK F9P Ultralight,エレキ/買い物,2,1,70.0,1.17,70.0,
Quick connector(MPL8-02),Api,2,1,70.0,1.17,70.0,
タンクキャップ(AC101),メカ,3,2,70.0,1.17,35.0,
タンクキャップ(穴追加工),メカ,5,3,70.0,1.17,23.3,
サーボホーン,Api,2,2,65.0,1.08,32.5,
Ball_vale_mount,メカ,1,1,60.0,1.0,60.0,
FPV Holder (AC102),メカ,2,2,60.0,1.0,30.0,
Harness(PCM-FC),エレキ,2,2,60.0,1.0,30.0,
Liquid Tank 9L,メカ,1,1,60.0,1.0,60.0,
Mecha Tray,メカ,1,1,60.0,1.0,60.0,
SIG Hub基板Assy,エレキ,4,2,60.0,1.0,30.0,
Servo horn,Api,2,2,60.0,1.0,30.0,
Water pump assy,Api,2,2,60.0,1.0,30.0,
motor cover3,メカ,1,1,60.0,1.0,60.0,
インペラ,メカ,2,1,60.0,1.0,60.0,↑
吐出口,メカ,2,1,60.0,1.0,60.0,↓
攪拌棒/mixing arm,メカ,1,1,60.0,1.0,60.0,
粒剤タンク,メカ,1,1,60.0,1.0,60.0,
駆動ギアホーン,メカ,1,1,60.0,1.0,60.0,
Harness(FC-外部USB),エレキ,2,2,50.0,0.83,25.0,
Harness(Relay Remote ID),エレキ,2,2,50.0,0.83,25.0,
液剤ポンプAssy（ver2023）,Api,1,1,50.0,0.83,50.0,
Condition LED Base,メカ,2,1,45.0,0.75,45.0,
Condition LED base,メカ,1,1,45.0,0.75,45.0,
MechaTray,メカ,1,1,45.0,0.75,45.0,
Upper plate,Api,2,2,45.0,0.75,22.5,
吐出口　discharge port 1-3(1),メカ,2,1,45.0,0.75,45.0,
Harness(PCM-PDB),Api,2,2,40.0,0.67,20.0,
Harness（Battery）,エレキ,2,2,40.0,0.67,20.0,
SIG Hub基板Assy（SIG HUBジッソウヒン）,エレキ,2,1,40.0,0.67,40.0,
TFミニプラス　ホルダー,Api,1,1,40.0,0.67,40.0,
イヤークランプ_16700010013.3-706R,メカ,1,1,40.0,0.67,40.0,
キャップ用パッキン,メカ/副資材,4,3,40.0,0.67,13.3,
可動板 induction plate 7-2,メカ,1,1,35.0,0.58,35.0,
隙間テープ,メカ/副資材,5,3,35.0,0.58,11.7,
AC101-P13用ギアBOX,エレキ,1,1,30.0,0.5,30.0,
Hamess(FC-SIG-HUB),エレキ,1,1,30.0,0.5,30.0,
Harness(FC-MC),エレキ,1,1,30.0,0.5,30.0,
Harness(PCM-MC),エレキ,1,1,30.0,0.5,30.0,
Harness(PCM-SIG HUB),エレキ,1,1,30.0,0.5,30.0,
Harness（FC-MC）,エレキ,1,1,30.0,0.5,30.0,
Harness（PCM-MC）,エレキ,1,1,30.0,0.5,30.0,
Harness（PCM-PDB）,Api,1,1,30.0,0.5,30.0,
LED cover seal,メカ/副資材,4,3,30.0,0.5,10.0,
Lower Plate(AC102),メカ,1,1,30.0,0.5,30.0,
M4アルミフランジナット,Api,2,1,30.0,0.5,30.0,
Pump attached harness,Api,1,1,30.0,0.5,30.0,
TF mini Plus レンジファインダー(加工前),買い物,1,1,30.0,0.5,30.0,
USB-CN基板 Assy,エレキ,3,1,30.0,0.5,30.0,
インペラ・攪拌用モーター,買い物,2,2,30.0,0.5,15.0,
吐出工キャップ用パッキン,メカ,1,1,30.0,0.5,30.0,
液剤ポンプAssy,Api,1,1,30.0,0.5,30.0,
粒剤制御版ケーブルカバー付き,メカ,1,1,30.0,0.5,30.0,
鳥獣害用コネクタ,エレキ,1,1,30.0,0.5,30.0,
Harness（PCM-FC）,エレキ,1,1,25.0,0.42,25.0,
Slide mount,メカ,1,1,25.0,0.42,25.0,
USB-CN基板Assy,エレキ,2,2,25.0,0.42,12.5,
center beam,メカ,1,1,25.0,0.42,25.0,
インペラ 1(1),メカ,2,1,25.0,0.42,25.0,
シャッターサーボ(コネクター加工後),エレキ,1,1,25.0,0.42,25.0,
センサマウントA　100pcs(初回分),メカ,1,1,25.0,0.42,25.0,
センサマウントB　100pcs(初回分),メカ,1,1,25.0,0.42,25.0,
AC102 取扱説明書,メカ,1,1,20.0,0.33,20.0,
FCマウントクッション,メカ,2,2,20.0,0.33,10.0,
H-RTK F9P Rover Lite,買い物,3,2,20.0,0.33,10.0,
Harness（PCM-SIG HUB）,エレキ,1,1,20.0,0.33,20.0,
boom mount,メカ,1,1,20.0,0.33,20.0,
バッテリコネクタキャップ,Api,2,2,20.0,0.33,10.0,
吐出口キャップ用パッキン,メカ/副資材,2,2,20.0,0.33,10.0,
駆動ギアホーン s2s 40A-1-2,メカ,1,1,20.0,0.33,20.0,
Cushion,メカ/副資材,5,2,15.0,0.25,7.5,
FPV 防滴シート,メカ,3,2,15.0,0.25,7.5,
GPS　Module（加工後）,エレキ,1,1,15.0,0.25,15.0,
Harness(衝突防止中継/FC/PCM),エレキ,1,1,15.0,0.25,15.0,
TF mini Plusレンジファインダー,買い物,1,1,15.0,0.25,15.0,
コネクタスポンジ,メカ/副資材,4,2,15.0,0.25,7.5,
保護パッド,メカ/副資材,4,2,15.0,0.25,7.5,
技適シール(LTE非搭載モデル),副資材,1,1,15.0,0.25,15.0,
２４GHzObstacle AvoidanceRadars（CANver),エレキ,1,1,15.0,0.25,15.0,
Arm grommet,Api,1,1,10.0,0.17,10.0,
TC-150PEN5-20 カットサイズ20mm×20mm×1.5t (低比重低硬度放熱シリコーンパッド),メカ/副資材/買い物,3,1,10.0,0.17,10.0,
コンディションLED両面テープ,メカ/副資材,3,2,10.0,0.17,5.0,
粒剤基板はんだ付け用ケーブル,エレキ,2,2,10.0,0.17,5.0,
Heat dissipation sheet,メカ/副資材,3,1,5.0,0.08,5.0,
USB02W-NTT,買い物,1,1,5.0,0.08,5.0,
コンディションLEDレンズ,買い物,1,1,5.0,0.08,5.0,
両面テープ 10×15× t0.8 カット済品,副資材,1,1,5.0,0.08,5.0,
両面テープ 20×30×t2 カット済品,副資材,1,1,5.0,0.08,5.0,
粒剤制御板ケーブルカバー付き,エレキ,1,1,5.0,0.08,5.0,
2.0mm Banana(GC2011-M),Api,1,1,1.0,0.02,1.0,
3灯式LED基板 緑色,エレキ,1,0,0,0,0,
3灯式LED基板 赤色,エレキ,1,0,0,0,0,
Battery connnector hoder,Api,1,0,0,0,0,
EX000817-11,Api,1,0,0,0,0,
